Angle,Intensity
15.1993,75
15.2035,92
15.2076,93
15.2118,92
15.216,93
15.2202,85
15.2244,90
15.2285,78
15.2327,88
15.2369,78
15.2411,79
15.2452,92
15.2494,88
15.2536,97
15.2578,75
15.262,74
15.2661,77
15.2703,77
15.2745,97
15.2787,86
15.2828,81
15.287,84
15.2912,108
15.2954,81
15.2996,81
15.3037,93
15.3079,82
15.3121,75
15.3163,93
15.3205,78
15.3246,99
15.3288,63
15.333,111
15.3372,87
15.3413,90
15.3455,98
15.3497,69
15.3539,75
15.3581,101
15.3622,91
15.3664,87
15.3706,86
15.3748,93
15.3789,78
15.3831,84
15.3873,106
15.3915,103
15.3957,92
15.3998,76
15.404,79
15.4082,73
15.4124,80
15.4165,89
15.4207,94
15.4249,99
15.4291,98
15.4333,86
15.4374,91
15.4416,93
15.4458,84
15.45,99
15.4541,93
15.4583,93
15.4625,89
15.4667,84
15.4709,92
15.475,90
15.4792,87
15.4834,87
15.4876,57
15.4917,94
15.4959,81
15.5001,88
15.5043,80
15.5085,86
15.5126,86
15.5168,89
15.521,86
15.5252,99
15.5293,93
15.5335,106
15.5377,82
15.5419,81
15.5461,89
15.5502,84
15.5544,96
15.5586,76
15.5628,87
15.5669,108
15.5711,92
15.5753,82
15.5795,97
15.5837,85
15.5878,112
15.592,84
15.5962,69
15.6004,85
15.6045,94
15.6087,72
15.6129,80
15.6171,84
15.6213,100
15.6254,92
15.6296,80
15.6338,82
15.638,84
15.6421,77
15.6463,104
15.6505,110
15.6547,101
15.6589,86
15.663,74
15.6672,87
15.6714,74
15.6756,86
15.6797,108
15.6839,86
15.6881,90
15.6923,76
15.6965,99
15.7006,78
15.7048,80
15.709,76
15.7132,90
15.7173,85
15.7215,96
15.7257,78
15.7299,81
15.7341,79
15.7382,92
15.7424,85
15.7466,82
15.7508,108
15.7549,99
15.7591,79
15.7633,109
15.7675,99
15.7717,94
15.7758,84
15.78,98
15.7842,100
15.7884,93
15.7925,89
15.7967,92
15.8009,77
15.8051,105
15.8093,101
15.8134,82
15.8176,86
15.8218,81
15.826,93
15.8301,79
15.8343,91
15.8385,86
15.8427,112
15.8469,99
15.851,94
15.8552,98
15.8594,89
15.8636,81
15.8677,90
15.8719,100
15.8761,85
15.8803,90
15.8845,78
15.8886,88
15.8928,80
15.897,89
15.9012,91
15.9053,93
15.9095,81
15.9137,79
15.9179,85
15.9221,98
15.9262,110
15.9304,88
15.9346,88
